metric,value
num_drones,10
num_dogs,10
budget_per_agent_m,500000
max_steps,50000
seed,42
ticks,23144
elapsed_seconds,360.0
explored_cells,16597
total_cells,45582
coverage_ratio,0.364113
probability_coverage_ratio,0.855253
overlap_cells,51279
overlap_ratio,0.755481
drone_cells_total,19722
dog_cells_total,48154
cells_drone_0,1474
cells_drone_1,1899
cells_drone_2,3219
cells_drone_3,2272
cells_drone_4,1138
cells_drone_5,2804
cells_drone_6,2761
cells_drone_7,1258
cells_drone_8,1693
cells_drone_9,1204
cells_dog_0,5872
cells_dog_1,5181
cells_dog_2,564
cells_dog_3,690
cells_dog_4,802
cells_dog_5,5862
cells_dog_6,4790
cells_dog_7,9003
cells_dog_8,6983
cells_dog_9,8407
path_m_drone_0,499971.0
path_m_drone_1,499982.6
path_m_drone_2,499996.1
path_m_drone_3,499996.5
path_m_drone_4,499995.8
path_m_drone_5,499999.4
path_m_drone_6,499994.8
path_m_drone_7,499976.2
path_m_drone_8,499983.3
path_m_drone_9,499991.2
path_m_dog_0,626256.0
path_m_dog_1,381579.8
path_m_dog_2,495258.5
path_m_dog_3,493024.0
path_m_dog_4,977746.5
path_m_dog_5,383258.2
path_m_dog_6,838522.3
path_m_dog_7,569665.8
path_m_dog_8,761123.0
path_m_dog_9,548109.4
