n_agents,num_drones,num_dogs,max_hops,Budget_m,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Victims_pct,Area_km2,Path_length_km,Likelihood,TD_Score,Time_first_victim,Efficiency_ratio,Latency,Elapsed_s,Algorithm,Seed
5,5,0,1.0,100000.0,0.15374489930235619,0.387358176678948,0.26471514006924773,31.5,6.235637871342197,499.9165845894032,0.07779910415410995,0.002570116972834459,9.0,0.7352848599307523,1773.9918469978666,1.7,Swarm_5D,42
5,5,0,,100000.0,,,,55.50000000000001,11.862268931334032,500.0000000000002,0.11265596682495145,0.0019071132848280583,,,,4.6,Greedy,42
5,5,0,,100000.0,,,,98.5,32.17171516320787,485.4420806107895,0.20090857294050632,0.00046410456260945605,,,,0.2,Spiral,42
5,5,0,,100000.0,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.1,Pizza,42
5,5,0,1.0,100000.0,0.15365714536439823,0.3874077453914976,0.26559714795008915,41.0,6.225177950233331,499.91452382958784,0.07770715653896332,0.002570116972834459,13.0,0.7344028520499108,1774.8859014395612,1.7,Swarm_5D,123
5,5,0,,100000.0,,,,58.5,13.520818881435046,499.9999999999999,0.14298723557181608,0.002032295456386684,,,,4.6,Greedy,123
5,5,0,,100000.0,,,,99.5,32.17171516320787,485.4420806107895,0.20090857294050632,0.00046410456260945605,,,,0.2,Spiral,123
5,5,0,,100000.0,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.1,Pizza,123
5,5,0,1.0,100000.0,0.15374489930235619,0.38735865523832874,0.2651006711409396,31.5,6.23117492438805,499.92729173601606,0.07771609723567963,0.002570116972834459,0.0,0.7348993288590604,1775.007845825716,1.7,Swarm_5D,456
5,5,0,,100000.0,,,,46.5,11.990980793990326,500.0000000000001,0.11553439962386498,0.0015502488644645617,,,,4.6,Greedy,456
5,5,0,,100000.0,,,,99.0,32.17171516320787,485.4420806107895,0.20090857294050632,0.00046410456260945605,,,,0.2,Spiral,456
5,5,0,,100000.0,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.0,Pizza,456
5,5,0,1.0,100000.0,0.15356939142644027,0.38735865523832874,0.26601656705462934,33.0,6.224869798965819,499.9038166829764,0.07772953808307648,0.002570116972834459,3.0,0.7339834329453706,1773.2413924436319,1.7,Swarm_5D,789
5,5,0,,100000.0,,,,49.0,12.144875080882986,500.00000000000057,0.11183840547659223,0.0021270883057287614,,,,4.6,Greedy,789
5,5,0,,100000.0,,,,99.0,32.17171516320787,485.4420806107895,0.20090857294050632,0.00046410456260945605,,,,0.2,Spiral,789
5,5,0,,100000.0,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.0,Pizza,789
5,5,0,1.0,100000.0,0.1577815804484226,0.39407012749312503,0.29233494047033354,33.5,6.394397175313866,499.8924212362685,0.07928144931793213,0.002570116972834459,6.0,0.7076650595296664,1721.5220572097446,1.9,Swarm_5D,2025
5,5,0,,100000.0,,,,38.5,10.256112377974349,500.00000000000057,0.086320303976203,0.0020397364596433584,,,,4.6,Greedy,2025
5,5,0,,100000.0,,,,99.0,32.17171516320787,485.4420806107895,0.20090857294050632,0.00046410456260945605,,,,0.2,Spiral,2025
5,5,0,,100000.0,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.1,Pizza,2025
